 | 63   | Hydrapple          |  2.36586% | 96472  |  2.564% | 72479  |  2.464% | 
 | 64   | Garchomp           |  2.17462% | 108201 |  2.876% | 87168  |  2.964% | 
 | 65   | Kingdra            |  2.09949% | 75857  |  2.016% | 56993  |  1.938% | 
 | 66   | Blissey            |  2.06607% | 78112  |  2.076% | 61468  |  2.090% | 
 | 67   | Ursaluna           |  2.03646% | 72138  |  1.918% | 58521  |  1.990% | 
 | 68   | Ceruledge          |  2.00066% | 95431  |  2.537% | 73509  |  2.499% | 
 | 69   | Venusaur           |  1.97181% | 88384  |  2.349% | 68473  |  2.328% | 
 | 70   | Araquanid          |  1.92608% | 83025  |  2.207% | 71769  |  2.440% | 
 | 71   | Azumarill          |  1.74043% | 64194  |  1.706% | 51551  |  1.753% | 
 | 72   | Hawlucha           |  1.57399% | 54366  |  1.445% | 38571  |  1.311% | 
 | 73   | Weezing-Galar      |  1.48688% | 58539  |  1.556% | 47633  |  1.620% | 
 | 74   | Maushold           |  1.46151% | 63590  |  1.690% | 47246  |  1.606% | 
 | 75   | Grimmsnarl         |  1.42888% | 71022  |  1.888% | 62171  |  2.114% | 
 | 76   | Iron Hands         |  1.39568% | 59311  |  1.577% | 46534  |  1.582% | 
 | 77   | Metagross          |  1.37628% | 77246  |  2.053% | 60236  |  2.048% | 
 | 78   | Deoxys-Defense     |  1.35153% | 51229  |  1.362% | 42377  |  1.441% | 
 | 79   | Hoopa-Unbound      |  1.34953% | 44683  |  1.188% | 34769  |  1.182% | 
 | 80   | Quaquaval          |  1.34923% | 63825  |  1.697% | 49680  |  1.689% | 
 | 81   | Indeedee           |  1.29565% | 47606  |  1.265% | 40656  |  1.382% | 
 | 82   | Tornadus-Therian   |  1.22963% | 39205  |  1.042% | 32290  |  1.098% | 
 | 83   | Mandibuzz          |  1.21609% | 45492  |  1.209% | 36257  |  1.233% | 
 | 84   | Goodra-Hisui       |  1.19724% | 58502  |  1.555% | 47318  |  1.609% | 
 | 85   | Volcanion          |  1.14528% | 38923  |  1.035% | 32319  |  1.099% | 
 | 86   | Moltres            |  1.14244% | 35215  |  0.936% | 29636  |  1.008% | 
 | 87   | Incineroar         |  1.12432% | 62584  |  1.664% | 52409  |  1.782% | 
 | 88   | Mamoswine          |  1.10467% | 41347  |  1.099% | 32135  |  1.093% | 
 | 89   | Ogerpon-Cornerstone |  1.07354% | 37391  |  0.994% | 29183  |  0.992% | 
 | 90   | Lilligant-Hisui    |  1.04536% | 39523  |  1.051% | 30109  |  1.024% | 
 | 91   | Thundurus-Therian  |  1.03921% | 42512  |  1.130% | 33838  |  1.151% | 
 | 92   | Porygon-Z          |  1.02351% | 50307  |  1.337% | 37755  |  1.284% | 
 | 93   | Tentacruel         |  1.00383% | 45665  |  1.214% | 37313  |  1.269% | 
 | 94   | Breloom            |  0.93351% | 47375  |  1.259% | 36588  |  1.244% | 
 | 95   | Manaphy            |  0.85812% | 32264  |  0.858% | 24555  |  0.835% | 
 | 96   | Galvantula         |  0.84008% | 60319  |  1.603% | 53209  |  1.809% | 
 | 97   | Arcanine-Hisui     |  0.82587% | 44870  |  1.193% | 33996  |  1.156% | 
 | 98   | Sandy Shocks       |  0.78544% | 32266  |  0.858% | 26173  |  0.890% | 
 | 99   | Feraligatr         |  0.76916% | 51644  |  1.373% | 37054  |  1.260% | 
 | 100  | Comfey             |  0.76818% | 34592  |  0.920% | 25415  |  0.864% | 
 | 101  | Blastoise          |  0.76113% | 51776  |  1.376% | 39015  |  1.327% | 
 | 102  | Cresselia          |  0.75008% | 27311  |  0.726% | 20675  |  0.703% | 
 | 103  | Magnezone          |  0.73381% | 27302  |  0.726% | 21449  |  0.729% | 
 | 104  | Cinccino           |  0.73256% | 46816  |  1.244% | 34287  |  1.166% | 
 | 105  | Lokix              |  0.72246% | 30485  |  0.810% | 24460  |  0.832% | 
 | 106  | Smeargle           |  0.69553% | 28489  |  0.757% | 25487  |  0.867% | 
 | 107  | Minior             |  0.69462% | 42118  |  1.120% | 31470  |  1.070% | 
 | 108  | Swampert           |  0.66438% | 37036  |  0.984% | 31252  |  1.063% | 
 | 109  | Empoleon           |  0.66191% | 33722  |  0.896% | 27010  |  0.918% | 
 | 110  | Sinistcha          |  0.59468% | 27691  |  0.736% | 20656  |  0.702% | 
